claim_id,entity_id,entity_name,claim_type,claim,source_url,source_type,source_quality,source_tier,evidence_status,last_verified_at,notes
claim-b2b-bnpl-intake-001,b2b-bnpl,B2B BNPL,intake_smv_bucket_signal,B2B BNPL has source-backed SMV bucket evidence: source text contains 'b2b saas'.,https://www.ratiotech.com,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-25,Auto-promoted intake evidence; not paper-ready. Snippet: Resources Resources Blog Get insights into the latest B2B SaaS trends.
claim-b2b-bnpl-intake-002,b2b-bnpl,B2B BNPL,intake_smv_bucket_signal,B2B BNPL has source-backed SMV bucket evidence: source text contains 'recurring revenue'.,https://www.ratiotech.com,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-25,Auto-promoted intake evidence; not paper-ready. Snippet: Boost Embedded flexible payment options to close more deals faster Learn about boost Trade Get funded now leveraging your existing recurring revenues Learn about TRADE loved by Cus
claim-ai-startup-investment-roundups-2026-intake-001,ai-startup-investment-roundups-2026,AI Startup Investment Roundups 2026,intake_smv_bucket_signal,AI Startup Investment Roundups 2026 has source-backed SMV bucket evidence: source text contains 'capital-efficient'.,https://aifundingtracker.com,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Glydways builds small, electric, AI-driven vehicles that run on dedicated narrow guideway networks — a capital-efficient alternative to traditional transit infrastructure."
claim-ai-startup-investment-roundups-2026-intake-002,ai-startup-investment-roundups-2026,AI Startup Investment Roundups 2026,intake_smv_bucket_signal,AI Startup Investment Roundups 2026 has source-backed SMV bucket evidence: source text contains 'growth equity'.,https://aifundingtracker.com,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: The ICONIQ lead signals that top-tier growth equity is confident in the AI BI category as a durable market, not a transitional product."
claim-ifi-patient-capital-manifesto-intake-001,ifi-patient-capital-manifesto,IFI Patient Capital Manifesto,intake_patient-capital_bucket_signal,IFI Patient Capital Manifesto has source-backed Patient Capital bucket evidence: source text contains 'patient capital'.,https://www.innovative.finance/patient,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: IFI Patient Capital Manifesto IFI Patient Capital Manifesto Who We Are What We’re Building Innovative Finance 101 Events Resources Login Contact Us Have a question or need assistan
claim-ifi-patient-capital-manifesto-intake-002,ifi-patient-capital-manifesto,IFI Patient Capital Manifesto,intake_patient-capital_bucket_signal,IFI Patient Capital Manifesto has source-backed Patient Capital bucket evidence: source text contains 'evergreen'.,https://www.innovative.finance/patient,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Use evergreen, open-ended, continuation, long-life, or permanent-capital vehicles that match actual exit conditions rather than forcing premature or suboptimal sales."
claim-b2b-software-company-buyers-intake-001,b2b-software-company-buyers,B2B Software Company Buyers,intake_portfolio-capital_bucket_signal,B2B Software Company Buyers has source-backed Portfolio Capital bucket evidence: source text contains 'holding company'.,https://softwareexit.com/b2b-software-buyers,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Edmonton, Canada Founded 2019 Industries B2B Software Target ~$1M - $5M ARR Cordance North Carolina-based holding company that acquires founder-owned vertical B2B SaaS companies wi"
claim-b2b-software-company-buyers-intake-002,b2b-software-company-buyers,B2B Software Company Buyers,intake_portfolio-capital_bucket_signal,B2B Software Company Buyers has source-backed Portfolio Capital bucket evidence: source text contains 'acquire and operate'.,https://softwareexit.com/b2b-software-buyers,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Toronto, Canada Founded 1995 Industries B2B Software Target ~Up to $700M ARR Deal structure All cash ETA Equity Search fund investor that invests in and supports entrepreneurs seek"
claim-eta-intake-001,eta,ETA,intake_search-eta_bucket_signal,ETA has source-backed Search/ETA bucket evidence: source text contains 'search fund'.,https://www.searchfund.org/search,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: ETA Homepage - SearchFund.org - Entrepreneurship Through Acquisition ETA Homepage - SearchFund.org - Entrepreneurship Through Acquisition ETA Homepage Home About Stats ""Searchers"" "
claim-eta-intake-002,eta,ETA,intake_search-eta_bucket_signal,ETA has source-backed Search/ETA bucket evidence: source text contains 'entrepreneurship through acquisition'.,https://www.searchfund.org/search,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: ETA Homepage - SearchFund.org - Entrepreneurship Through Acquisition ETA Homepage - SearchFund.org - Entrepreneurship Through Acquisition ETA Homepage Home About Stats ""Searchers"" "
claim-eta-intake-003,eta,ETA,intake_search-eta_bucket_signal,ETA has source-backed Search/ETA bucket evidence: source text contains 'self-funded search'.,https://www.searchfund.org/search,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: ETA Homepage - SearchFund.org - Entrepreneurship Through Acquisition ETA Homepage - SearchFund.org - Entrepreneurship Through Acquisition ETA Homepage Home About Stats ""Searchers"" "
claim-indie-hacker-success-stories-database-intake-001,indie-hacker-success-stories-database,Indie Hacker Success Stories Database,intake_lmv_bucket_signal,Indie Hacker Success Stories Database has source-backed LMV bucket evidence: source text contains 'indie'.,https://www.mrrstory.com/stories,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: Indie Hacker Success Stories Database | MRR Story | MRR Story Indie Hacker Success Stories Database | MRR Story | MRR Story M MRR Story Case Studies Newsletter Blog All Founder Sto
claim-indie-hacker-success-stories-database-intake-002,indie-hacker-success-stories-database,Indie Hacker Success Stories Database,intake_lmv_bucket_signal,Indie Hacker Success Stories Database has source-backed LMV bucket evidence: source text contains 'solo founder'.,https://www.mrrstory.com/stories,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: hev shares: ✓ What the product is & how they built it ✓ How they got their very first paying customer $2K /mo reddit growth How a Solo Founder Built $5.3K MRR With AI Tools and Red
claim-indie-hacker-success-stories-database-intake-003,indie-hacker-success-stories-database,Indie Hacker Success Stories Database,intake_lmv_bucket_signal,Indie Hacker Success Stories Database has source-backed LMV bucket evidence: source text contains 'micro-saas'.,https://www.mrrstory.com/stories,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: it ✓ How they got their very first paying customer $2.5K /mo founder story He Sold a SaaS in 30 Days for $2.5K (Here’s the $800K Micro-SaaS System Behind It) Mohd Danish Yusuf shar
claim-investments-intake-001,investments,Investments,intake_sovereign-capital_bucket_signal,Investments has source-backed Sovereign Capital bucket evidence: source text contains 'government'.,https://www.whitehouse.gov/investments,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: te House Wire Media Offenders Priorities Top Priorities Lead the World in AI Grow the Economy Strengthen National Security Reform Government (DOGE) Make America Healthy Again Secur
claim-investments-intake-002,investments,Investments,intake_sovereign-capital_bucket_signal,Investments has source-backed Sovereign Capital bucket evidence: source text contains 'national'.,https://www.whitehouse.gov/investments,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: The President Office of Management and Budget Office of Science and Technology Policy Council of Economic Advisors Office of the National Cyber Director Office of National Drug Con
claim-saas-valuation-multiples-2026-intake-001,saas-valuation-multiples-2026,SaaS Valuation Multiples 2026,intake_smv_bucket_signal,SaaS Valuation Multiples 2026 has source-backed SMV bucket evidence: source text contains 'bootstrapped'.,https://windsordrake.com/saas-valuation-multiples,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: In the private lower middle market—the $5M–$50M enterprise value range where most founder-led SaaS transactions occur—multiples trade at a 30–50% discount to public peers, with a m"
claim-saas-valuation-multiples-2026-intake-002,saas-valuation-multiples-2026,SaaS Valuation Multiples 2026,intake_smv_bucket_signal,SaaS Valuation Multiples 2026 has source-backed SMV bucket evidence: source text contains 'founder-led'.,https://windsordrake.com/saas-valuation-multiples,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: In the private lower middle market—the $5M–$50M enterprise value range where most founder-led SaaS transactions occur—multiples trade at a 30–50% discount to public peers, with a m"
claim-saas-valuation-multiples-2026-intake-003,saas-valuation-multiples-2026,SaaS Valuation Multiples 2026,intake_smv_bucket_signal,SaaS Valuation Multiples 2026 has source-backed SMV bucket evidence: source text contains 'recurring revenue'.,https://windsordrake.com/saas-valuation-multiples,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Revenue multiples are applied to annual recurring revenue (ARR) and reflect growth rate, retention, gross margin, and market position."
claim-saas-valuation-multiples-2026-intake-004,saas-valuation-multiples-2026,SaaS Valuation Multiples 2026,intake_smv_bucket_signal,SaaS Valuation Multiples 2026 has source-backed SMV bucket evidence: source text contains 'saas acquisition'.,https://windsordrake.com/saas-valuation-multiples,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: As financing costs decline, buyer appetite for SaaS acquisitions—particularly in the $10M–$50M enterprise value range—should increase."
claim-search-fund-resources-intake-001,search-fund-resources,Search Fund Resources,intake_search-eta_bucket_signal,Search Fund Resources has source-backed Search/ETA bucket evidence: source text contains 'search fund'.,https://smash.vc/search-fund,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: I went through the search fund process myself and now sit on the other side of the table as an investor through CapitalPad.
claim-search-fund-resources-intake-002,search-fund-resources,Search Fund Resources,intake_search-eta_bucket_signal,Search Fund Resources has source-backed Search/ETA bucket evidence: source text contains 'search capital'.,https://smash.vc/search-fund,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: The searcher typically becomes the CEO post-close, with investors providing both the search capital and the acquisition equity."
claim-search-fund-resources-intake-003,search-fund-resources,Search Fund Resources,intake_search-eta_bucket_signal,Search Fund Resources has source-backed Search/ETA bucket evidence: source text contains 'entrepreneurship through acquisition'.,https://smash.vc/search-fund,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: Newton Campos Crash Course on ETA SMB Center First-Time Buyer’s LOI Blueprint (free) Micro PE: How to Buy a Small Business Udemy: Fundamentals of Entrepreneurship through Acquisiti
claim-search-fund-resources-intake-004,search-fund-resources,Search Fund Resources,intake_search-eta_bucket_signal,Search Fund Resources has source-backed Search/ETA bucket evidence: source text contains 'business acquisition'.,https://smash.vc/search-fund,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: The terms are favorable for SMB acquisitions: down payments as low as 10%, 10-year amortization for business acquisitions, and competitive interest rates compared to private credit"
claim-search-fund-resources-intake-005,search-fund-resources,Search Fund Resources,intake_search-eta_bucket_signal,Search Fund Resources has source-backed Search/ETA bucket evidence: source text contains 'self-funded search'.,https://smash.vc/search-fund,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Traditional vs self-funded search funds There are two main flavors of search funds, and the difference between them shapes everything from your day one economics to who you can tar"
claim-solo-founder-ai-tools-intake-001,solo-founder-ai-tools,Solo Founder AI Tools,intake_lmv_bucket_signal,Solo Founder AI Tools has source-backed LMV bucket evidence: source text contains 'indie'.,https://entrepreneurloop.com/solo-founder-ai-tools,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Cursor, the AI-native code editor, crossed 1 million monthly active users in early 2026, and Indie Hackers reports that 34% of new micro-SaaS products launched in Q1 2026 were buil"
claim-solo-founder-ai-tools-intake-002,solo-founder-ai-tools,Solo Founder AI Tools,intake_lmv_bucket_signal,Solo Founder AI Tools has source-backed LMV bucket evidence: source text contains 'solo founder'.,https://entrepreneurloop.com/solo-founder-ai-tools,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: Solo Founder AI Tools: Build a Startup Alone in 2026 Solo Founder AI Tools: Build a Startup Alone in 2026 Followers Entrepreneur Loop Create Instant Resume About Us Advertise Conta
claim-solo-founder-ai-tools-intake-003,solo-founder-ai-tools,Solo Founder AI Tools,intake_lmv_bucket_signal,Solo Founder AI Tools has source-backed LMV bucket evidence: source text contains 'micro-saas'.,https://entrepreneurloop.com/solo-founder-ai-tools,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Cursor, the AI-native code editor, crossed 1 million monthly active users in early 2026, and Indie Hackers reports that 34% of new micro-SaaS products launched in Q1 2026 were buil"
claim-solo-founder-ai-tools-intake-004,solo-founder-ai-tools,Solo Founder AI Tools,intake_lmv_bucket_signal,Solo Founder AI Tools has source-backed LMV bucket evidence: source text contains 'one-person'.,https://entrepreneurloop.com/solo-founder-ai-tools,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: A 2025 McKinsey study of 2,400 one-person businesses found that AI-automated solo operations achieve 4.2x higher revenue per hour worked compared to manual workflows."
claim-solo-founder-ai-tools-intake-005,solo-founder-ai-tools,Solo Founder AI Tools,intake_lmv_bucket_signal,Solo Founder AI Tools has source-backed LMV bucket evidence: source text contains 'ai-native'.,https://entrepreneurloop.com/solo-founder-ai-tools,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Cursor, the AI-native code editor, crossed 1 million monthly active users in early 2026, and Indie Hackers reports that 34% of new micro-SaaS products launched in Q1 2026 were buil"
